league,home_team,away_team,home_odds,draw_odds,away_odds,time,date
ENGLAND,Chelsea,Nottingham,1.73,3.90,4.75,15:00,2026-05-04
ENGLAND,Everton,Manchester City,6.50,4.50,1.48,20:00,2026-05-04
ITALY,Cremonese,Lazio,3.00,3.30,2.40,17:30,2026-05-04
ITALY,AS Roma,Fiorentina,1.57,4.20,5.50,19:45,2026-05-04
SPAIN,Sevilla,Real Sociedad,2.45,3.50,2.80,20:00,2026-05-04
ARGENTINA,Gimnasia Mendoza,Defensa y Justicia,2.32,2.75,3.60,21:00,2026-05-04
ARGENTINA,Velez Sarsfield,Newells Old Boys,1.61,3.60,6.00,23:15,2026-05-04
ARGENTINA,CSR Espanol,Argentino de Rosario,2.32,2.76,3.24,19:30,2026-05-04
ARGENTINA,Deportivo Muniz,Club Lujan,3.51,2.77,2.20,19:30,2026-05-04
ARGENTINA,Deportivo Espanol,Sportivo Barracas,2.26,2.68,3.51,19:30,2026-05-04
ARGENTINA,Justo Jose de Urquiza,Sacachispas,2.58,2.73,2.79,19:30,2026-05-04
ARGENTINA,River Plate W,Lanus W,1.05,8.60,21.00,19:00,2026-05-04
ARUBA,Atl. Deportivo,Caravel,2.11,3.72,2.79,01:00,2026-05-04
AUSTRIA,Altach,Wolfsberger AC,2.32,3.40,2.82,17:30,2026-05-04
AUSTRIA,LASK,SK Rapid,1.91,3.60,3.60,19:30,2026-05-04
AUSTRIA,Stockerau,Ebreichsdorf,2.59,3.48,2.28,18:00,2026-05-04
AZERBAIJAN,Qarabag,Turan Tovuz,1.51,3.78,5.72,16:30,2026-05-04
BAHRAIN,Al-Hidd,Aali Club,2.09,3.10,3.33,17:00,2026-05-04
BAHRAIN,Al-Najma,Al-Muharraq,6.18,4.25,1.42,17:00,2026-05-04
BARBADOS,Ellerton FC,Weymouth Wales,3.38,3.75,1.93,01:00,2026-05-04
BHUTAN,RTC,Tensung,1.05,10.50,14.50,11:00,2026-05-04
BRAZIL,Vila Nova FC,Athletic Club,1.71,3.70,4.50,23:00,2026-05-04
BRAZIL,Retro,Sergipe,1.82,3.34,3.96,23:00,2026-05-04
BRAZIL,Coritiba U20,City London U20,1.48,4.05,5.60,19:00,2026-05-04
BRAZIL,Furia,Capim,2.10,7.00,2.05,21:00,2026-05-04
BRAZIL,Dibrados FC,Nyvelados,2.51,8.50,1.75,22:00,2026-05-04
