Competition,Stage,Round,Date,Kickoff (UTC),Home Team,Away Team,Score Home,Score Away,Odds Home,Odds Draw,Odds Away,Status
Europa League,Play Offs,,2026-04-30,20:00,Arsenal,Atl. Madrid,,,1.57,4.20,5.50,Scheduled
Liga Profesional - Apertura,Argentina,,2026-04-30,Finished,Estudiantes Rio Cuarto,Instituto,0,2,3.50,2.82,2.30,Finished
Primera Nacional,Argentina,,2026-04-30,Finished,Quilmes,Chacarita Juniors,0,0,2.25,2.70,3.80,Finished
Primera Nacional,Argentina,,2026-04-30,Finished,Gimnasia y Tiro,Agropecuario,2,3,2.25,2.65,3.25,Finished
Primera B,Argentina,,2026-04-30,Finished,Comunicaciones,Ituzaingo,3,2,1.73,3.67,4.55,Finished
Reserve League - Apertura,Argentina,,2026-04-30,19:00,Atl. Rafaela 2,Huracan 2,,,3.81,3.02,1.97,Scheduled
Reserve League - Apertura,Argentina,,2026-04-30,19:00,Independiente 2,Ferro 2,,,1.47,3.66,6.74,Scheduled
Reserve League - Apertura,Argentina,,2026-04-30,19:00,Instituto 2,Gimnasia Mendoza 2,,,2.04,3.02,3.56,Scheduled
Reserve League - Apertura,Argentina,,2026-04-30,19:00,Platense 2,Estudiantes Rio Cuarto 2,,,1.86,3.10,4.14,Scheduled
Reserve League - Apertura,Argentina,,2026-04-30,19:00,Quilmes 2,Defensa y Justicia 2,,,2.20,2.96,3.24,Scheduled
Reserve League - Apertura,Argentina,,2026-04-30,23:00,River Plate 2,Racing Club 2,,,1.55,3.75,5.28,Scheduled
First League,Armenia,,2026-04-30,13:00,Ararat Yerevan 2,Hayq,,,,,,Scheduled
First League,Armenia,,2026-04-30,13:00,BKMA 2,Bentonit,,,,,,Scheduled
First League,Armenia,,2026-04-30,13:00,Sardarapat,Ararat-Armenia 2,,,,,,Scheduled
First League,Armenia,,2026-04-30,15:00,Noah 2,Van 2,,,,,,Scheduled
Division di Honor - Relegation,Aruba,,2026-04-30,Finished,Jong Aruba,Brazil Juniors,1,3,2.11,3.52,2.91,Finished
AFC Asian Cup U17,Asia,,2026-04-30,17:00,Japan U17,Qatar U17,,,,,,Scheduled
AFC Asian Cup U17,Asia,,2026-04-30,17:30,Indonesia U17,China U17,,,,,,Scheduled
AFC Asian Cup U17,Asia,,2026-04-30,18:00,Saudi Arabia U17,Myanmar U17,,,,,,Scheduled
AFC Asian Cup U17,Asia,,2026-04-30,18:30,Tajikistan U17,Thailand U17,,,,,,Scheduled
AFC Asian Cup Women U17,Asia,,2026-04-30,Finished,Chinese Taipei U17 W,South Korea U17 W,0,4,,,Scheduled
AFC Asian Cup Women U17,Asia,,2026-04-30,Finished,Lebanon U17 W,Australia U17 W,1,1,,,Scheduled
AFC Asian Cup Women U17,Asia,,2026-04-30,12:30,India U17 W,Japan U17 W,,,,,,Scheduled
AFC Asian Cup Women U17,Asia,,2026-04-30,12:30,Philippines U17 W,North Korea U17 W,,,,,,Scheduled
Regionalliga East,Austria,,2026-04-30,18:30,Wiener Sport-Club,Parndorf,,,2.73,3.74,2.14,Scheduled
Steiermark,Austria,,2026-04-30,18:00,Koflach,Stadtwerke Bruck/Mur,,,,,,Scheduled
Steiermark,Austria,,2026-04-30,18:00,Leoben,Allerheiligen,,,3.55,4.85,1.63,Scheduled
Steiermark,Austria,,2026-04-30,18:00,SV Union Gnas,Lebring,,,3.19,3.58,1.97,Scheduled
Steiermark,Austria,,2026-04-30,18:00,SV Wildon,Hohenhaus Schladming,,,1.21,5.65,10.40,Scheduled
Steiermark,Austria,,2026-04-30,18:00,Tillmitsch,Hartberg (Am),,,2.12,3.62,2.83,Scheduled
Steiermark,Austria,,2026-04-30,18:00,TUS Bad Waltersdorf,Furstenfeld,,,2.78,3.54,2.18,Scheduled
Steiermark,Austria,,2026-04-30,18:00,UFC Fehring,Pachern,,,1.74,3.90,3.70,Scheduled
Steiermark,Austria,,2026-04-30,18:00,Weinland Gamlitz,Ilzer SV,,,4.42,5.55,1.44,Scheduled
Premier League,Azerbaijan,,2026-04-30,13:00,Karvan,Neftci Baku,,,8.05,4.55,1.32,Scheduled
I Liqa,Azerbaijan,,2026-04-30,13:00,Sahdag Qusar,Mingachevir,,,4.49,3.40,1.71,Scheduled
Premier League,Bahrain,,2026-04-30,17:00,Al Riffa,Al-Shabbab,,,1.23,4.90,11.80,Scheduled
Premier League,Bahrain,,2026-04-30,17:00,Sitra,Al-Ahli Manama,,,2.52,2.96,2.64,Scheduled
Federation Cup - Play Offs,Bangladesh,,2026-04-30,77,Brothers U.,Bashundara Kings,0,3,5.94,4.13,1.49,Finished
Federation Cup - Play Offs,Bangladesh,,2026-04-30,Awaiting,Rahmatgonj MFS,Mohammedan,0,1,2.89,3.41,2.27,Finished
Premier League,Bhutan,,2026-04-30,13:00,BFF Academy U19,Ugyen Academy,,,1.88,3.98,3.14,Scheduled
Division Profesional,Bolivia,,2026-04-30,Finished,Universitario de Vinto,Blooming,1,1,1.79,4.10,3.60,Finished
Premier League,Botswana,,2026-04-30,14:30,Calendar Stars,Extension Gunners,,,,,,Scheduled
Premier League,Botswana,,2026-04-30,14:30,Nico United,Tafic FC,,,,,,Scheduled
Premier League,Botswana,,2026-04-30,14:30,Police XI,Black Lions,,,2.61,2.53,3.10,Scheduled
Premier League,Botswana,,2026-04-30,14:30,Santa Green,Orapa United,,,,,,Scheduled
Premier League,Botswana,,2026-04-30,18:00,Centre Chiefs,Gaborone Utd,,,3.35,3.00,2.18,Scheduled
Serie C - First stage,Brazil,,2026-04-30,Finished,Figueirense,Barra FC,0,3,2.60,2.99,2.86,Finished
